severity,check,vehicle,row_ref,details
fail,vehicle_totals_mismatch,VC106,,ownership: dashboard=1969517.0 db=1964970.0 delta=-4547.0
fail,vehicle_totals_mismatch,VC114,,ownership: dashboard=860000.0 db=530000.0 delta=-330000.0
fail,position_vs_dashboard_ownership_by_investor,VC106,,investor_key=julienmachot dashboard=112057.0 db=107510.0 delta=-4547.0
fail,position_vs_dashboard_ownership_by_investor,VC114,,investor_key=julienmachot dashboard=530000.0 db=200000.0 delta=-330000.0
fail,position_vs_dashboard_ownership,VC106,,positions=1964970.0 dashboard=1969517.0
fail,position_vs_dashboard_ownership,VC114,,positions=530000.0 dashboard=860000.0
fail,commission_totals_mismatch_invested_amount,VC122,,dashboard=150000.0 db=0.0 delta=-150000.0
warn,dashboard_commission_amount_without_name,VC122,VC22:12,sheet=VC22 row=12 name_col=59 invested=150000.0 spread=0.0
warn,commission_totals_ruled_diff_spread,VC106,,dashboard=6326296.752 db=6326296.81 delta=0.058 expected=0.058
warn,commission_totals_ruled_diff_spread,VC113,,dashboard=963887.6075 db=963887.62 delta=0.0125 expected=0.0125
warn,commission_totals_ruled_diff_spread,VC114,,dashboard=0.4 db=0.0 delta=-0.4 expected=-0.4
