,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERSO CAPITAL,,,,,,,,,,PARTNERS,,,,,,,,,,INTRODUCERS,,,,,,,,,
,Index,Opportunity,Sourcing Contract ref,Cost per Share,Investor Last Name,Investor Middle Name,Investor First Name,Investor Entity,Vehicle,Amount invested,Price per Share,Number of shares invested,OWNERSHIP POSITION,Contract Date,Spread PPS,Spread PPS Fees,Subscription fees %,Subscription fees,Management fees,Performance fees 1,Threshold 1,Performance fees 2,Threshold 2,Discount rate,Interest rate,Valuation Cap,Comments,TO DO,,,,BD Fees %,BD fees,FINRA fees in share,FINRA fees,,Subscription fees %,Subscription fees,Performance fees 1,Threshold 1,Performance fees 2,Threshold 2,Spread PPS,Spread PPS Fees,,Names,Subscription fees %,Subscription fees,Performance fees 1,Threshold 1,Performance fees 2,Threshold 2,Spread PPS,Spread PPS Fees,,Names,Subscription fees %,Subscription fees,Performance fees 1,Threshold 1,Performance fees 2,Threshold 2,Spread PPS,Spread PPS Fees,,CHECK
,1,MINDELL,,1,,,,,VC36,,1,0,0,,0,0,0,0,0,0,0x,,,,,,,,,,,,0,0,0,,,0,,0x,,,0,0,,,0,0,0,0x,,,0,0,,,0,0,0,0x,,,0,0,,0
,2,MINDELL,,1,,,,,VC36,,1,0,0,,0,0,0,0,0,0,0x,,,,,,,,,,,,0,0,0,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,0
,3,MINDELL,,1,,,,,VC36,,1,0,0,,0,0,0,0,0,0.2,0x,,,,,,,,,,,,0,0,0,,,0,,0x,,,0,0,,,,0,0,0x,,,0,0,,,,0,,0x,,,0,0,,0.2
,4,MINDELL,,1,,,,,VC36,,1,0,0,,0,0,0,0,0,0.2,0x,,,,,,,,,,,,0,0,0,,,0,,0x,,,0,0,,,,0,0,0x,,,0,0,,,,0,,0x,,,0,0,,0.2
,5,MINDELL,,1,,,,,VC36,,1,0,0,,0,0,0,0,0,0.2,0x,,,,,,,,,,,,0,0,0,,,0,,0x,,,0,0,,,,0,0,0x,,,0,0,,,,0,,0x,,,0,0,,0.2
,6,MINDELL,,1,,,,,VC36,,1,0,0,,0,0,0,0,0,0.2,0x,,,,,,,,,,,,0,0,0,,,0,,0x,,,0,0,,,,0,0,0x,,,0,0,,,,0,,0x,,,0,0,,0.2
,7,MINDELL,,1,,,,,VC36,,1,0,0,,0,0,0,0,0,0,0x,,,,,,,,,,,,0,0,0,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,0
,8,MINDELL,,1,,,,,VC36,,1,0,0,,0,0,0,0,0,0,0x,,,,,,,,,,,,0,0,0,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,0
,9,MINDELL,,1,,,,,VC36,,1,0,0,,0,0,0,0,0,0,Ox,,,,,,,,,,,,0,0,0,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,0
,10,MINDELL,,1,,,,,VC36,,1,0,0,,0,0,0,0,0,0,Ox,,,,,,,,,,,,0,0,0,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,0
,,Total,,,,,,,,0,,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,,,,,0,,0,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
