,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERSO CAPITAL,,,,,,,,,,PARTNERS,,,,,,,,,,INTRODUCERS,,,,,,,,,
,Index,Opportunity,Sourcing Contract ref,Cost per Share,Investor Last Name,Investor Middle Name,Investor First Name,Investor Entity,Vehicle,Amount invested,Price per Share,Number of shares invested,DELTA VC15 DASHBOARD,OWNERSHIP POSITION 20/8,Contract Date,Spread PPS,Spread PPS Fees,Subscription fees %,Subscription fees,Performance fees 1,Threshold 1,Performance fees 2,Threshold 2,Discount rate,Interest rate,Valuation Cap,Comments,TO DO,,,,BD Fees %,BD fees,FINRA fees in share,FINRA fees,,Subscription fees %,Subscription fees,Performance fees 1,Threshold 1,Performance fees 2,Threshold 2,Spread PPS,Spread PPS Fees,,Names,Subscription fees %,Subscription fees,Performance fees 1,Threshold 1,Performance fees 2,Threshold 2,Spread PPS,Spread PPS Fees,,Names,Subscription fees %,Subscription fees,Performance fees 1,Threshold 1,Performance fees 2,Threshold 2,Spread PPS,Spread PPS Fees,,CHECK
,1,CONCLUDER,,,,,,,VC17,,1,0,,0,,0,0,,0,,0x,,,,,,,,,,,,0,0,0,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,,0,0,0,0x,,,0,0,,0
,2,CONCLUDER,,,,,,,VC17,,1,0,,0,,0,0,,0,,0x,,,,,,,,,,,,0,0,0,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,0
,3,CONCLUDER,,,,,,,VC17,,1,0,,0,,0,0,,0,,0x,,,,,,,,,,,,0,0,0,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,0
,4,CONCLUDER,,,,,,,VC17,,1,0,,0,,0,0,,0,,0x,,,,,,,,,,,,0,0,0,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,0
,,CONCLUDER,,,,,,,VC17,,1,0,,,,0,0,,0,,,,,,,,,,,,,,0,0,0,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,,,0,,0x,,,0,0,,0
,,Total,,,,,,,,0,,0,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,,,,,,0,,0,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
