severity,check,vehicle,row_ref,details
fail,commission_base_amount_vs_funded_amount_mismatch,IN103,,deal_id=7c9a8651-b09c-4fa1-a92c-deaba2e8106b investor_id=44156505-451c-4200-8f2a-836eadf9ef78 commission_base_sum=0.0 funded_sum=100000.0 delta=-100000.0
fail,commission_base_amount_vs_funded_amount_mismatch,IN103,,deal_id=7c9a8651-b09c-4fa1-a92c-deaba2e8106b investor_id=598aa3a7-fef2-4988-b28e-397fc40d15f6 commission_base_sum=0.0 funded_sum=50000.0 delta=-50000.0
fail,commission_base_amount_vs_funded_amount_mismatch,IN103,,deal_id=7c9a8651-b09c-4fa1-a92c-deaba2e8106b investor_id=6e30b5c7-fc27-4b92-9b43-c026ad2eae11 commission_base_sum=0.0 funded_sum=50000.0 delta=-50000.0
fail,commission_base_amount_vs_funded_amount_mismatch,IN103,,deal_id=7c9a8651-b09c-4fa1-a92c-deaba2e8106b investor_id=9fc05243-a77f-4dfb-a441-fbee821710f8 commission_base_sum=0.0 funded_sum=50000.0 delta=-50000.0
fail,commission_base_amount_vs_funded_amount_mismatch,IN103,,deal_id=7c9a8651-b09c-4fa1-a92c-deaba2e8106b investor_id=f0183109-5b5e-4fb0-8d57-4ff6c57c0b35 commission_base_sum=0.0 funded_sum=500000.0 delta=-500000.0
warn,commission_totals_ruled_diff_invested_amount,IN102,,dashboard=74881.5498 db=0.0 delta=-74881.5498 expected=-74881.5498
warn,commission_totals_ruled_diff_invested_amount,IN103,,dashboard=65000.0 db=45000.0 delta=-20000.0 expected=-20000.0
warn,commission_totals_ruled_diff_spread,IN103,,dashboard=499997.22284 db=249998.61 delta=-249998.61284 expected=-249998.61284
warn,commission_row_ruled_dashboard_override,IN103,IN3:3,investor=Zandera (Holdco) Limited introducer=Altras+Andrew basis=invested_amount expected_amount=15000.0 expected_rate=n/a dashboard_amount=30000.0 db_amount=15000.0 dashboard_rates=[300] db_rates=[300]
warn,commission_row_ruled_dashboard_override,IN103,IN3:3,investor=Zandera (Holdco) Limited introducer=Altras+Andrew basis=spread expected_amount=174999.03 expected_rate=n/a dashboard_amount=349998.06 db_amount=174999.03 dashboard_rates=[290] db_rates=[3500]
warn,commission_row_ruled_dashboard_override,IN103,IN3:3,investor=Zandera (Holdco) Limited introducer=Anand basis=invested_amount expected_amount=5000.0 expected_rate=n/a dashboard_amount=10000.0 db_amount=5000.0 dashboard_rates=[100] db_rates=[100]
warn,commission_row_ruled_dashboard_override,IN103,IN3:3,investor=Zandera (Holdco) Limited introducer=Anand basis=spread expected_amount=74999.58 expected_rate=n/a dashboard_amount=149999.17 db_amount=74999.58 dashboard_rates=[124] db_rates=[1500]
